id,name,email,email_verified_at,password,two_factor_secret,two_factor_recovery_codes,two_factor_confirmed_at,role,access_scope,tva_number,duree_creneau,plan_type,plan_status,premium_started_at,premium_renewal_at,organization_account_id,postal_code_id,primary_service_zone_id,managed_service_zone_id,permissions,phone,locale,timezone,status,is_active,metadata,remember_token,current_team_id,profile_photo_path,created_at,updated_at,stripe_id,pm_type,pm_last_four,trial_ends_at
"1","Admin cleanux","admin@cleanux.test","","$2y$12$3mNs1AaySW2MDZwmkXr2OeSwdNdiC6eh3cm09WTfP3gYNb4yz2ile","","","","admin","zone","","90","standard","inactive","","","","","","6","[""manage-calendar"", ""manage-entreprises"", ""manage-quality"", ""perform-critical-admin-actions"", ""manage-users"", ""manage-finance"", ""manage-premium"", ""manage-services"", ""manage-analytics"", ""manage-audit-logs""]","","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:42:57","2026-04-07 16:12:08","","","",""
"2","Atlas Facilities Manager","facilities@atlasfacilities.test","","$2y$12$d9mgj5q5hnqS1S1bZbWm6uF3dvwJ9mY/mpcR1c0LLD8tiTEJUY.kq","","","","societe","all","BE0123456789","90","premium","active","2026-03-07 00:42:57","2026-05-07 00:42:57","1","1","5","","","+32471111222","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:42:57","2026-04-07 15:33:11","","","",""
"3","Client Premium Bruxelles","premium.client@cleanux.test","","$2y$12$w3GuCkaa3Dfg8Ym.SwLLTu8Hfp2gsDh1ZUkCoIilMoXhejzlV4Sr6","","","","client","all","","90","premium","active","2026-03-24 00:42:57","2026-04-21 00:42:57","","2","5","","","+32470000111","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:42:57","2026-04-07 00:42:57","","","",""
"4","Client Standard Gand","client.standard@cleanux.test","","$2y$12$K0yIPpQ89N2AsijwGLN0oebFGt357hLRStRdBG1hgTYA7iqONMani","","","","client","all","","90","standard","inactive","","","","7","8","","","+32470000999","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:42:58","2026-04-07 00:42:58","","","",""
"5","Equipe Bruxelles","bruxelles.team@cleanux.test","","$2y$12$FUHlw5bxvot/V7fsQmFZNeQ82LG8jGh2PN7thwshdj4zq9asqDoZy","","","","employe","all","","90","standard","inactive","","","","1","5","","","+32468331877","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:42:58","2026-04-07 00:42:58","","","",""
"6","Equipe Anvers","anvers.team@cleanux.test","","$2y$12$yYOkP6Aid/oQ2126fWYZUer1nFGFWrc3Wrg8a.vr4pkGq7jXx9IVe","","","","client","all","","90","standard","inactive","","","","4","6","","","+32468884984","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:42:59","2026-04-07 15:33:32","","","",""
"7","Equipe Gand","gand.team@cleanux.test","","$2y$12$MfcSBhu3cwJc7VY.EAHXvOG0CRqANEp4d.NQDLafRF.tNxyrQoZnG","","","","employe","all","","90","standard","inactive","","","","7","8","","","+32463744618","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:42:59","2026-04-07 00:42:59","","","",""
"8","Equipe Liège","liege.team@cleanux.test","","$2y$12$XsZMrGzsfUDspiHEXFtkCOPFh/EytVDFE8wLZD70hWXZHr30u6gJ2","","","","employe","all","","90","standard","inactive","","","","14","13","","","+32461737803","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:42:59","2026-04-07 00:42:59","","","",""
"9","Equipe Namur","namur.team@cleanux.test","","$2y$12$Y/kEKYKkrz7o3smXLI4bi.aHYucR5VxcmvIzRhfQ3/NUTNOPv6lwe","","","","employe","all","","90","standard","inactive","","","","16","15","","","+32462867393","fr_BE","Europe/Brussels","active","1","","","","","2026-04-07 00:43:00","2026-04-07 00:43:00","","","",""
"10","test","test@test.com","2026-04-07 17:06:46","$2y$12$2j.HBFxQNuahU06qxHmS3.d1ft/vx.nEODdNkR1qwSJmXf0fy7Yai","","","","admin","all","","90","standard","inactive","","","","","","","","","en","Europe/Brussels","active","1","","","","","2026-04-07 15:06:27","2026-04-07 15:06:27","","","",""
